img_id,decided,status
Tamil Nadu Chola_I148.png,TRUE,Accepted
Tamil Nadu Chola_I190.png,TRUE,Accepted
Tamil Nadu Chola_I192.png,TRUE,Accepted
Tamil Nadu Chola_I194.png,TRUE,Accepted
Tamil Nadu Chola_I195.png,TRUE,Accepted
Tamil Nadu Chola_I197.png,TRUE,Accepted
Tamil Nadu Chola_I198.png,TRUE,Accepted
Tamil Nadu Chola_I199.png,TRUE,Accepted
Tamil Nadu Chola_I200.png,TRUE,Accepted
Tamil Nadu Chola_I202.png,TRUE,Accepted
Tamil Nadu Chola_I203.png,TRUE,Accepted
Tamil Nadu Chola_I204.png,TRUE,Accepted
Tamil Nadu Chola_I205.png,TRUE,Accepted
Tamil Nadu Chola_I210.png,TRUE,Accepted
Tamil Nadu Chola_I211.png,TRUE,Accepted
Tamil Nadu Chola_I212.png,TRUE,Accepted
Tamil Nadu Chola_I214.png,TRUE,Accepted
Tamil Nadu Chola_I215.png,TRUE,Accepted
Tamil Nadu Chola_I216.png,TRUE,Accepted
Tamil Nadu Chola_I217.png,TRUE,Accepted
Tamil Nadu Chola_I219.png,TRUE,Accepted
Tamil Nadu Chola_I220.png,TRUE,Accepted
Tamil Nadu Chola_I221.png,TRUE,Accepted
Tamil Nadu Chola_I222.png,TRUE,Accepted
Tamil Nadu Chola_I223.png,TRUE,Accepted
Tamil Nadu Chola_I224.png,TRUE,Accepted
Tamil Nadu Chola_I226.png,TRUE,Accepted
Tamil Nadu Chola_I227.png,TRUE,Accepted
Tamil Nadu Chola_I228.png,TRUE,Accepted
Tamil Nadu Chola_I229.png,TRUE,Accepted
Tamil Nadu Chola_I230.png,TRUE,Accepted
Tamil Nadu Chola_I231.png,TRUE,Accepted
Tamil Nadu Chola_I232.png,TRUE,Accepted
Tamil Nadu Chola_I235.png,TRUE,Accepted
